Q_SUBPART_LEVEL_INFORMATION.FACILITY_ID,Q_SUBPART_LEVEL_INFORMATION.REPORTING_YEAR,Q_SUBPART_LEVEL_INFORMATION.GHG_NAME,Q_SUBPART_LEVEL_INFORMATION.GHG_QUANTITY
1007946,2011,Biogenic Carbon dioxide,0
1007946,2011,Nitrous Oxide,.012
1007695,2010,Biogenic Carbon dioxide,0
1007946,2012,Nitrous Oxide,.012
1007946,2013,Biogenic Carbon dioxide,0
1007695,2014,Biogenic Carbon dioxide,0
1007946,2014,Methane,.13
1007946,2015,Nitrous Oxide,.125
1007695,2016,Methane,.24
1007695,2016,Nitrous Oxide,.024
1007577,2010,Biogenic Carbon dioxide,0
1007577,2012,Carbon Dioxide,26519
1007577,2016,Carbon Dioxide,33964.4
1012352,2016,Nitrous Oxide,0
1010766,2015,Methane,0
1011726,2010,Carbon Dioxide,1224.7
1011726,2012,Methane,0
1010925,2011,Nitrous Oxide,0
1011726,2015,Carbon Dioxide,844.5
1010925,2012,Methane,0
1010925,2012,Nitrous Oxide,0
1010925,2013,Methane,0
1010925,2014,Nitrous Oxide,0
1011726,2016,Methane,0
1010763,2012,Nitrous Oxide,0
1010763,2013,Biogenic Carbon dioxide,0
1010763,2015,Methane,0
1010763,2016,Nitrous Oxide,0
1000159,2010,Nitrous Oxide,.011
1000159,2010,Carbon Dioxide,332837.9
1005976,2010,Biogenic Carbon dioxide,0
1006972,2016,Methane,0
1005025,2016,Methane,.29
1001563,2016,Carbon Dioxide,21277
1002769,2013,Carbon Dioxide,1432.9
1004036,2014,Biogenic Carbon dioxide,0
1004036,2014,Methane,0
1003902,2013,Biogenic Carbon dioxide,0
1005777,2011,Biogenic Carbon dioxide,0
1005777,2011,Carbon Dioxide,67915.5
1005536,2011,Biogenic Carbon dioxide,0
1005536,2013,Methane,0
1000156,2012,Biogenic Carbon dioxide,0
1000233,2012,Methane,.01
1003962,2013,Methane,.23
1007577,2015,Carbon Dioxide,34416.5
1000156,2014,Biogenic Carbon dioxide,0
1006708,2014,Biogenic Carbon dioxide,0
1006708,2014,Methane,0
1000274,2014,Methane,.57
1000274,2014,Carbon Dioxide,2076977.8
1002147,2014,Methane,0
1002147,2014,Carbon Dioxide,177726.6
1000588,2014,Methane,.07
